ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,query,qclass,label_service
1718640009.936366,CjFbb12UfWCDZg1cji,192.168.1.4,37529.0,192.168.1.1,53.0,udp,suche.ubuntu.com,1.0,https
1718639971.38594,CdO0Ua1qb40KQbM9Zb,192.168.1.4,49432.0,192.168.1.1,53.0,udp,mx.ubuntu.com,1.0,https
1718639990.637867,CwsW6e1BjuHu1xKHm8,192.168.1.4,41913.0,192.168.1.1,53.0,udp,lnc04.ubuntu.com,1.0,https
1718641188.939289,CsLsof2ArIdi4Rbw4b,192.168.1.4,59464.0,108.162.192.136,53.0,udp,47.49.39.54.in-addr.arpa,1.0,dns
1718640324.352532,COSC97516Iw5tMJK5,192.168.1.4,50398.0,185.125.190.66,53.0,udp,139.189.125.185.in-addr.arpa,1.0,dns
1718642030.689564,C0jwor2gg8EbtmPZ2d,192.168.1.4,43040.0,108.162.193.209,53.0,udp,118.103.39.54.in-addr.arpa,1.0,dns
1718639981.616981,ClS3EW2qwhxpCpjcVh,192.168.1.4,57960.0,192.168.1.1,53.0,udp,dns2.ubuntu.com,1.0,https
1718640391.41356,Cc1b972b9SObcSwaih,192.168.1.4,51891.0,192.168.1.1,53.0,udp,itdel.kali.org,1.0,https
1718640336.87119,CVC3Mh22ULAkBzVwxb,192.168.1.4,38017.0,185.125.190.66,53.0,udp,33.190.125.185.in-addr.arpa,1.0,dns
1718639974.49942,CySFmw38kk4IfxaO3k,192.168.1.4,44411.0,192.168.1.1,53.0,udp,859.ubuntu.com,1.0,https
1718640248.673127,CZkyLv2YkglKFEBu73,192.168.1.4,58265.0,185.125.190.66,53.0,udp,196.188.125.185.in-addr.arpa,1.0,dns
1718641632.547852,CrxXUyZMzCu17wrYl,192.168.1.4,42362.0,172.64.32.136,53.0,udp,219.49.39.54.in-addr.arpa,1.0,dns
1718640403.442864,CI4xye2ZTbkOrvpMKf,192.168.1.4,39552.0,192.168.1.1,53.0,udp,tax-web.kali.org,1.0,https
1718641023.412279,C7vLdwPTuWc0bHTib,192.168.1.4,51172.0,108.162.192.136,53.0,udp,239.24.211.18.in-addr.arpa,1.0,dns
1718641664.789641,CeyKP532PmVtDblY0k,192.168.1.4,52679.0,173.245.59.209,53.0,udp,232.49.39.54.in-addr.arpa,1.0,dns
1718639979.331066,CBAW0x2otKSmGDYZUe,192.168.1.4,41481.0,192.168.1.1,53.0,udp,centredexpertise.ubuntu.com,1.0,https
1718641233.641489,C2bdEN3nCr7bog7EP5,192.168.1.4,46596.0,108.162.193.209,53.0,udp,65.49.39.54.in-addr.arpa,1.0,dns
1718641004.496748,CvNUlU32rx627I61Ab,192.168.1.4,56423.0,172.64.33.209,53.0,udp,232.24.211.18.in-addr.arpa,1.0,dns
1718640381.158858,CFbASR15hvsGzwLKwg,192.168.1.4,33102.0,192.168.1.1,53.0,udp,996.kali.org,1.0,https
1718641287.811383,CYu6yA3d8tlMS7M9Hl,192.168.1.4,45615.0,172.64.33.209,53.0,udp,86.49.39.54.in-addr.arpa,1.0,dns
1718640805.864608,CvNUlU32rx627I61Ab,192.168.1.4,56423.0,172.64.33.209,53.0,udp,155.24.211.18.in-addr.arpa,1.0,dns
1718640025.741896,CdcOwM0GTuWrr32Lc,192.168.1.4,41534.0,185.125.190.66,53.0,udp,143.91.189.91.in-addr.arpa,1.0,dns
1718639999.165181,CithwB4FfricsLGZZd,192.168.1.4,41647.0,192.168.1.1,53.0,udp,privacy.ubuntu.com,1.0,https
1718640392.05571,CWgSgF4oNnDgQFF7C3,192.168.1.4,59674.0,192.168.1.1,53.0,udp,kansspel.kali.org,1.0,https
1718641520.359414,CeyKP532PmVtDblY0k,192.168.1.4,52679.0,173.245.59.209,53.0,udp,176.49.39.54.in-addr.arpa,1.0,dns
1718640859.605942,CpCYRE2pZutPgYS9f8,192.168.1.4,33500.0,173.245.59.209,53.0,udp,176.24.211.18.in-addr.arpa,1.0,dns
1718641813.979251,CZyjhS1OWHY7wxdcj5,192.168.1.4,33831.0,173.245.59.209,53.0,udp,34.103.39.54.in-addr.arpa,1.0,dns
1718639993.296482,CGAZEgb9DTI4X19Gc,192.168.1.4,55032.0,192.168.1.1,53.0,udp,name.ubuntu.com,1.0,https
1718640866.055118,C7vLdwPTuWc0bHTib,192.168.1.4,51172.0,108.162.192.136,53.0,udp,178.24.211.18.in-addr.arpa,1.0,dns
1718639996.604967,CTQOb82YRvoplBaPQd,192.168.1.4,56653.0,192.168.1.1,53.0,udp,onss.ubuntu.com,1.0,https
1718640314.9426,COSC97516Iw5tMJK5,192.168.1.4,50398.0,185.125.190.66,53.0,udp,26.189.125.185.in-addr.arpa,1.0,dns
1718639978.684506,CGjYcn4iXDf7gWOWK5,192.168.1.4,55850.0,192.168.1.1,53.0,udp,caami.ubuntu.com,1.0,https
1718641020.833005,C7vLdwPTuWc0bHTib,192.168.1.4,51172.0,108.162.192.136,53.0,udp,238.24.211.18.in-addr.arpa,1.0,dns
1718639994.130376,CZokS73X21MCFRyBva,192.168.1.4,35783.0,192.168.1.1,53.0,udp,ncnw.ubuntu.com,1.0,https
1718640381.458364,Ct302v2fGQld74bgsl,192.168.1.4,50207.0,192.168.1.1,53.0,udp,acg.kali.org,1.0,https
1718640401.932508,C2srGO3m2JMcMpQwik,192.168.1.4,49188.0,192.168.1.1,53.0,udp,simplification.kali.org,1.0,https
1718640397.961753,CsgdRMGqYyqgfFTFb,192.168.1.4,50084.0,192.168.1.1,53.0,udp,p51.kali.org,1.0,https
1718640421.000746,CEvKP82vcpC3LQIMlk,192.168.1.4,58231.0,172.64.32.136,53.0,udp,5.24.211.18.in-addr.arpa,1.0,dns
1718641411.592912,C2bdEN3nCr7bog7EP5,192.168.1.4,46596.0,108.162.193.209,53.0,udp,134.49.39.54.in-addr.arpa,1.0,dns
1718641772.70198,CZyjhS1OWHY7wxdcj5,192.168.1.4,33831.0,173.245.59.209,53.0,udp,18.103.39.54.in-addr.arpa,1.0,dns
1718641267.167516,C2bdEN3nCr7bog7EP5,192.168.1.4,46596.0,108.162.193.209,53.0,udp,78.49.39.54.in-addr.arpa,1.0,dns
1718641991.994916,C0jwor2gg8EbtmPZ2d,192.168.1.4,43040.0,108.162.193.209,53.0,udp,103.103.39.54.in-addr.arpa,1.0,dns
1718640416.713836,COFxLC2GAct7aiX1xa,192.168.1.4,57158.0,108.162.193.209,53.0,udp,4.24.211.18.in-addr.arpa,1.0,dns
1718640459.709013,CpCYRE2pZutPgYS9f8,192.168.1.4,33500.0,173.245.59.209,53.0,udp,21.24.211.18.in-addr.arpa,1.0,dns
1718640389.997501,CKrTaG4DDfSaY4E5Pj,192.168.1.4,57983.0,192.168.1.1,53.0,udp,http.kali.org,1.0,https
1718640405.188147,Cme5BH1dzt4VgzBgU8,192.168.1.4,37694.0,192.168.1.1,53.0,udp,ww.kali.org,1.0,https
1718640668.673049,CEvKP82vcpC3LQIMlk,192.168.1.4,58231.0,172.64.32.136,53.0,udp,101.24.211.18.in-addr.arpa,1.0,dns
1718640394.547295,CBFwsZ3rtGvodvIFg,192.168.1.4,49283.0,192.168.1.1,53.0,udp,mistr.kali.org,1.0,https
1718640401.255704,CXUiJ5F532Fw0Pl0f,192.168.1.4,33652.0,192.168.1.1,53.0,udp,saso.kali.org,1.0,https
1718639975.699505,CEtTfb4MA2Kxyt1iBl,192.168.1.4,59888.0,192.168.1.1,53.0,udp,afigp.ubuntu.com,1.0,https
1718639434.258499,CluJbF1OjCaUyo1znc,192.168.1.7,5353.0,224.0.0.251,5353.0,udp,_nfs._tcp.local,1.0,https
1718641189.798794,C2bdEN3nCr7bog7EP5,192.168.1.4,46596.0,108.162.193.209,53.0,udp,48.49.39.54.in-addr.arpa,1.0,dns
1718640610.637115,C7vLdwPTuWc0bHTib,192.168.1.4,51172.0,108.162.192.136,53.0,udp,79.24.211.18.in-addr.arpa,1.0,dns
1718641530.246606,CYu6yA3d8tlMS7M9Hl,192.168.1.4,45615.0,172.64.33.209,53.0,udp,180.49.39.54.in-addr.arpa,1.0,dns
1718642330.148075,CF3TGy29n5qDmpbCqf,192.168.1.4,50574.0,192.168.1.1,53.0,udp,4.1.168.192.in-addr.arpa,1.0,dns
1718640756.398599,CpCYRE2pZutPgYS9f8,192.168.1.4,33500.0,173.245.59.209,53.0,udp,136.24.211.18.in-addr.arpa,1.0,dns
1718640335.620698,CVC3Mh22ULAkBzVwxb,192.168.1.4,38017.0,185.125.190.66,53.0,udp,18.190.125.185.in-addr.arpa,1.0,dns
1718646740.304716,CJYXlv4pecw7APYIj2,192.168.1.4,39515.0,192.168.1.1,53.0,udp,connectivity-check.ubuntu.com,1.0,https
1718639990.958342,CRuCwr2ol9MqgyiC7h,192.168.1.4,53582.0,192.168.1.1,53.0,udp,lo.ubuntu.com,1.0,https
1718640947.315596,CpCYRE2pZutPgYS9f8,192.168.1.4,33500.0,173.245.59.209,53.0,udp,210.24.211.18.in-addr.arpa,1.0,dns
1718642143.730802,CVQEvJ1g2DZ770vu04,192.168.1.4,60564.0,172.64.32.136,53.0,udp,161.103.39.54.in-addr.arpa,1.0,dns
1718639989.491736,C5hwnh478tps3e95ql,192.168.1.4,47798.0,192.168.1.1,53.0,udp,kcetools.ubuntu.com,1.0,https
