ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,duration,local_orig,proto,orig_bytes,resp_bytes,conn_state,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722971867.987196,ClT2yv4Izarvip6439,192.168.1.4,40432,192.168.1.1,53,0.0011291504000000001,True,udp,49,109,SF,True,0,Dd,1,77,1,137,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971870.384371,CWjXmaCryggvieN75,192.168.1.4,50875,192.168.1.1,53,0.0011291504000000001,True,udp,49,109,SF,True,0,Dd,1,77,1,137,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971869.332081,CdxfVAInbpcRsiS6,192.168.1.4,56078,172.253.122.97,443,0.0392389297,True,tcp,1798,5974,SF,False,0,ShADFadRfR,10,2254,9,6450,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971866.945151,CjreKm1XP5SRnx4S45,192.168.1.4,55284,184.31.222.131,443,4.8091189861,True,tcp,1898,5059,SF,False,0,ShADadFfR,12,2506,11,5639,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971869.226474,CAmyHh94Zzoat94I7,192.168.1.4,38661,192.168.1.1,53,0.0507159233,True,udp,47,264,SF,True,0,Dd,1,75,1,292,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971868.934874,CA6yih1tUJ6cGzjED5,192.168.1.4,37542,192.168.1.1,53,0.0039980412,True,udp,75,157,SF,True,0,Dd,1,103,1,185,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.185265,CY4n66wqzxHMIqTn6,192.168.1.4,57720,198.148.27.131,443,0.0793678761,True,tcp,1887,5415,SF,False,0,ShADadFRf,12,2471,9,5891,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971870.613824,Cd02bw3RgejFYMH0qh,192.168.1.4,38682,35.83.174.78,443,0.0793678761,True,tcp,1887,5415,SF,False,0,ShADadFRf,12,2471,9,5891,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.086675,CFfvscxjRKk0TSped,192.168.1.4,50732,23.218.217.33,443,0.3245589733,True,tcp,2581,4764,SF,False,0,ShADadFRf,13,3241,12,5396,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.519343,CDpAyW1gugmQwiuhXd,192.168.1.4,57624,146.75.37.108,443,0.1368620396,True,tcp,1913,4230,SF,False,0,ShADadFRRf,11,2445,9,4706,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
