id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
192.168.1.6,40534.0,192.168.1.4,22.0,SSH,18.08828496932984,1631.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2523.0,22.0,3238.0,1.0
192.168.1.4,58740.0,104.244.42.3,443.0,tcp,2.53277111053467,2713.0,4347.0,SF,1.0,0.0,0.0,ShADadFfR,13.0,3373.0,13.0,5031.0,0.0
192.168.1.4,56755.0,192.168.1.1,53.0,udp,0.001157045364379,47.0,103.0,SF,1.0,1.0,0.0,Dd,1.0,75.0,1.0,131.0,0.0
192.168.1.4,57883.0,192.168.1.1,53.0,udp,0.016610860824584,82.0,239.0,SF,1.0,1.0,0.0,Dd,1.0,110.0,1.0,267.0,0.0
192.168.1.6,33570.0,192.168.1.4,22.0,SSH,0.001816987991333,58.0,562.0,SF,1.0,1.0,0.0,Dd,1.0,86.0,1.0,590.0,1.0
192.168.1.4,44166.0,172.253.122.97,443.0,udp,0.004544973373413,53.0,134.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,162.0,0.0
192.168.1.4,52659.0,192.168.1.1,53.0,udp,0.002457857131958,57.0,114.0,SF,1.0,1.0,0.0,Dd,1.0,85.0,1.0,142.0,0.0
192.168.1.4,54720.0,204.235.147.206,80.0,tcp,35.2651479244232,0.0,0.0,SF,1.0,0.0,0.0,ShAFaf,4.0,180.0,3.0,132.0,0.0
192.168.1.4,57211.0,104.18.11.207,443.0,udp,0.066391944885253,4105.0,7661.0,SF,1.0,0.0,0.0,Dd,9.0,4357.0,11.0,7969.0,0.0
192.168.1.4,38019.0,192.168.1.1,53.0,udp,0.003024101257324,48.0,479.0,SF,1.0,1.0,0.0,Dd,1.0,76.0,1.0,507.0,0.0
192.168.1.4,37714.0,104.90.96.201,443.0,tcp,1.12402391433716,1852.0,4175.0,SF,1.0,0.0,0.0,ShADadFfR,10.0,2356.0,9.0,4651.0,0.0
192.168.1.4,47784.0,142.251.111.148,443.0,tcp,240.232157945633,2937.0,9442.0,SF,1.0,0.0,0.0,ShADadFf,27.0,4349.0,31.0,11062.0,0.0
192.168.1.4,46986.0,35.190.43.134,443.0,tcp,495.803617954254,2481.0,5146.0,SF,1.0,0.0,0.0,ShADadFf,24.0,3737.0,23.0,6350.0,0.0
192.168.1.4,42288.0,192.168.1.1,53.0,udp,0.00130295753479,58.0,139.0,SF,1.0,1.0,0.0,Dd,1.0,86.0,1.0,167.0,0.0
192.168.1.4,55520.0,192.168.1.1,53.0,udp,0.015859842300415,48.0,313.0,SF,1.0,1.0,0.0,Dd,1.0,76.0,1.0,341.0,0.0
192.168.1.4,47206.0,192.168.1.1,53.0,udp,0.005074977874755,64.0,64.0,SF,1.0,1.0,0.0,Dd,1.0,92.0,1.0,92.0,0.0
192.168.1.4,35790.0,104.18.12.192,443.0,udp,0.029258012771606,48.0,479.0,SF,1.0,1.0,0.0,Dd,1.0,76.0,1.0,507.0,0.0
192.168.1.4,55332.0,107.154.79.175,443.0,udp,0.035262823104858,44.0,248.0,SF,1.0,1.0,0.0,Dd,1.0,72.0,1.0,276.0,0.0
192.168.1.6,45658.0,192.168.1.4,22.0,SSH,0.000552892684936,23.0,22.0,RSTR,1.0,1.0,0.0,ShADadr,4.0,239.0,5.0,278.0,1.0
192.168.1.6,38136.0,192.168.1.4,22.0,SSH,15.084867000579834,1631.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2523.0,22.0,3238.0,1.0
192.168.1.4,47576.0,192.168.1.1,53.0,udp,0.001922845840454,41.0,630.0,SF,1.0,1.0,0.0,Dd,1.0,69.0,1.0,658.0,0.0
192.168.1.4,51923.0,192.168.1.1,53.0,udp,0.044832944869995,1786.0,6170.0,SF,1.0,0.0,0.0,ShADadFRfR,12.0,2382.0,10.0,6698.0,0.0
192.168.1.4,48112.0,192.168.1.1,53.0,udp,0.020900964736938,56.0,315.0,SF,1.0,1.0,0.0,Dd,1.0,84.0,1.0,343.0,0.0
192.168.1.4,35863.0,192.168.1.1,53.0,udp,0.003834962844848,47.0,401.0,SF,1.0,1.0,0.0,Dd,1.0,75.0,1.0,429.0,0.0
192.168.1.4,45315.0,192.168.1.1,53.0,udp,0.062767028808593,51.0,171.0,SF,1.0,1.0,0.0,Dd,1.0,79.0,1.0,199.0,0.0
192.168.1.6,33692.0,192.168.1.4,22.0,SSH,18.087942838668823,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0
192.168.1.6,54934.0,192.168.1.4,22.0,SSH,18.08791708946228,1607.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2499.0,22.0,3238.0,1.0
192.168.1.6,56230.0,192.168.1.4,22.0,SSH,18.09494996070861,1631.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2523.0,22.0,3238.0,1.0
192.168.1.6,58432.0,192.168.1.4,22.0,SSH,18.088351011276245,1631.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2523.0,22.0,3238.0,1.0
192.168.1.4,33708.0,192.168.1.1,53.0,udp,0.001805782318115,55.0,311.0,SF,1.0,1.0,0.0,Dd,1.0,83.0,1.0,339.0,0.0
192.168.1.6,34420.0,192.168.1.4,22.0,SSH,18.087342977523804,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0
192.168.1.6,56070.0,192.168.1.4,22.0,SSH,18.09058690071106,1639.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2531.0,22.0,3238.0,1.0
192.168.1.4,55343.0,192.168.1.1,53.0,udp,0.022501945495605,57.0,182.0,SF,1.0,1.0,0.0,Dd,1.0,85.0,1.0,210.0,0.0
192.168.1.4,34086.0,172.253.63.102,443.0,udp,0.063703060150146,2736.0,4941.0,SF,1.0,0.0,0.0,Dd,5.0,2876.0,7.0,5137.0,0.0
192.168.1.4,54955.0,31.13.66.19,443.0,udp,0.084803104400634,4035.0,10467.0,SF,1.0,0.0,0.0,Dd,11.0,4343.0,16.0,10915.0,0.0
192.168.1.4,44622.0,192.168.1.1,53.0,udp,0.002851009368896,45.0,163.0,SF,1.0,1.0,0.0,Dd,1.0,73.0,1.0,191.0,0.0
192.168.1.4,50430.0,142.251.111.97,443.0,udp,0.056901931762695,2734.0,4977.0,SF,1.0,0.0,0.0,Dd,5.0,2874.0,7.0,5173.0,0.0
192.168.1.4,59126.0,146.75.28.84,443.0,tcp,89.0759818553925,1822.0,5821.0,SF,1.0,0.0,0.0,ShADadFRf,12.0,2430.0,12.0,6453.0,0.0
192.168.1.4,33558.0,192.168.1.1,53.0,udp,0.002699851989746,41.0,223.0,SF,1.0,1.0,0.0,Dd,1.0,69.0,1.0,251.0,0.0
192.168.1.4,45338.0,142.251.16.149,443.0,udp,0.015588045120239,44.0,356.0,SF,1.0,1.0,0.0,IIiiiIhhhHH,1.0,72.0,1.0,384.0,0.0
192.168.1.4,45915.0,192.168.1.1,53.0,udp,0.060148954391479,55.0,175.0,SF,1.0,1.0,0.0,Dd,1.0,83.0,1.0,203.0,0.0
