ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,client_initial_dcid,server_scid
1723223480.31421,CdUVch20ETzD3xwYLk,192.168.1.4,49438.0,35.186.205.6,443.0,tcp,4.87714600563049,3207.0,25914.0,SF,1.0,0.0,0.0,ShADadFf,20.0,4255.0,22.0,27066.0,0.0,4dc4b2044425003f,000000000062b83ea761e54f55752f44b8b63192
1723224684.83849,CWBDel2OpMBh5upMM,192.168.1.4,57957.0,172.253.122.97,443.0,udp,0.068504095077514,4027.0,8811.0,SF,1.0,0.0,0.0,Dd,7.0,4223.0,10.0,9091.0,0.0,b4ab6163ceef5d52,01185e1cd5b939e1e319dc1c83b90f997c14cec4
1723223359.69241,CgAYgpGN8VFcnUt6d,192.168.1.4,46550.0,35.211.178.172,443.0,udp,0.001399040222167,42.0,123.0,SF,1.0,1.0,0.0,Dd,1.0,70.0,1.0,151.0,0.0,ce9c126f374ba29b,0187a4b6491a281366852db67d1a30f6b9d89559
1723224985.56116,CXte9i47fvaR0gTa0b,192.168.1.4,51618.0,192.168.1.1,53.0,udp,0.000849962234497,52.0,52.0,SF,1.0,1.0,0.0,Dd,1.0,80.0,1.0,80.0,0.0,bdd0d6bdb1a7d465,fdd0d6bdb1a7d465
1723224232.08157,CxYwun3Nk5LnsiA8lk,192.168.1.4,38345.0,192.168.1.1,53.0,udp,273.798773050308,2871.0,7478.0,SF,1.0,0.0,0.0,IIishhhhHHHh,25.0,4179.0,28.0,8942.0,0.0,a7fb177c88251cf4,000000000063daba6a304f342c1548bc6fd1c830
1723224806.12198,ChJJua4coQz1s4en3g,192.168.1.4,33798.0,192.168.1.1,53.0,udp,0.029056072235107,58.0,143.0,SF,1.0,1.0,0.0,Dd,1.0,86.0,1.0,171.0,0.0,2cebd9d3c76adede,01e34d1b2390fc8fffe2cf1bb790e52192b9cc2a
1723225087.1497,C1c5YN1d8qMfFLlj6a,192.168.1.4,36015.0,192.168.1.1,53.0,udp,0.001458883285522,50.0,107.0,SF,1.0,1.0,0.0,Dd,1.0,78.0,1.0,135.0,0.0,90c4eac482f47585,f0c4eac482f47585
1723223751.82132,CSbeFm1YRgc3rjXxy8,192.168.1.4,58777.0,192.168.1.1,53.0,udp,0.015585899353027,54.0,657.0,SF,1.0,1.0,0.0,Dd,1.0,82.0,1.0,685.0,0.0,e8cc3cab5e513b2c,e8cc3cab5e513b2c
1723223841.241,CJHwlj2flZyEindAeb,192.168.1.4,39304.0,3.228.54.255,443.0,tcp,0.046300172805786,1921.0,5689.0,SF,1.0,0.0,0.0,ShADadFRfR,11.0,2465.0,10.0,6217.0,0.0,eeaae1663f4696bb,06002237825f2a5f6162fd492b1458cab1
1723217867.0142,CRvgSJkCsSipZdmwd,192.168.1.6,49656.0,192.168.1.4,22.0,SSH,18.087849855422974,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0,,
1723223962.61414,CrMg6u4TMibAEjC0c6,192.168.1.4,40528.0,192.168.1.1,53.0,udp,183.19174695015,2451.0,137162.0,SF,1.0,0.0,0.0,ShADadFf,59.0,5527.0,87.0,141694.0,0.0,d13376823e970cec,f13376823e970cec
1723223662.83948,CUof9h1whNkXUMXTKd,192.168.1.4,43324.0,192.168.1.1,53.0,udp,0.044109106063842,58.0,139.0,SF,1.0,1.0,0.0,Dd,1.0,86.0,1.0,167.0,0.0,c328b04689edf4cb,e328b04689edf4cb
1723223961.32715,CTosRm3QKrtgmHKyye,192.168.1.4,41860.0,172.253.122.97,443.0,tcp,60.0953788757324,1840.0,6953.0,SF,1.0,0.0,0.0,ShADadFf,13.0,2524.0,11.0,7533.0,0.0,4bb4393dfae83f57,01ebf162870fe8d552ea73625d0fdb536466856f
1723223325.23422,C8l3dd4MfalarPTMVe,192.168.1.4,36366.0,3.163.245.4,443.0,udp,0.105586051940917,4547.0,95765.0,SF,1.0,0.0,0.0,Dd,46.0,5835.0,87.0,98201.0,0.0,ffdea58fc54b1d33,ffdea58fc54b1d33
1723224354.25079,CXpYrH11DWAhFVWa1g,192.168.1.4,40908.0,35.169.90.194,443.0,tcp,4.02129292488098,2544.0,6938.0,SF,1.0,0.0,0.0,ShADadFf,15.0,3332.0,12.0,7570.0,0.0,1d61fb7bf55acf1e,01982762a1bf8a31e399a36247bf8e13074aeeaf
1723222849.1713,CSMtdotdQFmnue8Ab,192.168.1.6,53312.0,192.168.1.4,22.0,SSH,16.586993932724,1615.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2507.0,22.0,3238.0,1.0,,
1723223154.30259,CvfDRtYbq78CUwjc,192.168.1.4,60461.0,192.168.1.1,53.0,udp,0.018509149551391,53.0,195.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,223.0,0.0,b4ab6163ceef5d52,01185e1cd5b939e1e319dc1c83b90f997c14cec4
1723224376.04235,CDhkPK2557vvVQvhG6,192.168.1.4,34091.0,192.168.1.1,53.0,udp,0.011308908462524,43.0,121.0,SF,1.0,1.0,0.0,Dd,1.0,71.0,1.0,149.0,0.0,64ca0949026c4b2d,01ff082009014394affd822014017947fdab4afa
1723222396.166209,CIYTID1KlpAXmDSMU1,192.168.1.6,35652.0,192.168.1.4,22.0,SSH,18.09107995033264,1607.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2499.0,22.0,3238.0,1.0,,
1723223746.87463,C56xhx1xTzSnKUSkH3,192.168.1.4,33435.0,23.62.164.139,443.0,udp,7.00110387802124,3604.0,6650.0,SF,1.0,0.0,0.0,Dd,12.0,3940.0,14.0,7042.0,0.0,72aacc71015ef9f1,f2aacc71015ef9f1
1723212812.772504,C8PGMB4XN0omcK7th1,192.168.1.6,34678.0,192.168.1.4,22.0,SSH,18.098419904708862,1631.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2523.0,22.0,3238.0,1.0,,
1723216038.654162,CLOE2c1PPIIwCAk7Ei,192.168.1.6,38584.0,192.168.1.4,22.0,SSH,16.585247039794922,1615.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2507.0,22.0,3238.0,1.0,,
1723223961.94532,CmlE9a22gSUktsBnXd,192.168.1.4,54922.0,31.13.66.63,443.0,udp,12.6792171001434,2578.0,45408.0,SF,1.0,0.0,0.0,IIishhhHHh,28.0,4042.0,38.0,47392.0,0.0,2913ab45e7d938a7,902d005110a4c3fb
1723219579.221125,CL5TDI139rOMekArIb,192.168.1.6,51644.0,192.168.1.4,22.0,SSH,0.000366926193237,23.0,22.0,RSTR,1.0,1.0,0.0,ShADadr,4.0,239.0,5.0,278.0,1.0,,
1723223842.5862,CvIewXeIFAgBJ74K1,192.168.1.4,56148.0,192.168.1.1,53.0,udp,0.167315006256103,42.0,451.0,SF,1.0,1.0,0.0,Dd,1.0,70.0,1.0,479.0,0.0,0dd31a2c94fa74fa,edd31a2c94fa74fa
1723223541.07484,CvIELC2WKkMG1qwxl8,192.168.1.4,59234.0,162.247.243.39,443.0,tcp,0.045583963394165,1891.0,5084.0,SF,1.0,0.0,0.0,ShADadFfR,10.0,2395.0,10.0,5612.0,0.0,40712a0abfe0972a,e0712a0abfe0972a
1723223992.8816,CzZRuZzJYbVVeYgGa,192.168.1.4,49140.0,52.85.150.11,443.0,udp,0.088473796844482,3398.0,12249.0,SF,1.0,0.0,0.0,Dd,9.0,3650.0,13.0,12613.0,0.0,dd826a893a6960bd,fd826a893a6960bd
1723225076.6008,Cjq81z4qBAWVcBK72g,192.168.1.4,37970.0,69.166.1.35,443.0,tcp,126.881280183792,3497.0,109427.0,SF,1.0,0.0,0.0,ShADadFf,62.0,6729.0,81.0,113647.0,0.0,9bc3fbed2a5054c5,fbc3fbed2a5054c5
1723225076.61893,C51Opw37w8bJZaOKC1,192.168.1.4,47418.0,172.67.23.234,443.0,udp,1.7264289855957,6529.0,73613.0,SF,1.0,0.0,0.0,Dd,44.0,7761.0,74.0,75685.0,0.0,e9acd6112cef948f,e9acd6112cef948f
1723223961.42221,CJLlJ9QDK5UP3MRG2,192.168.1.4,54312.0,192.168.1.1,53.0,udp,2.70860505104065,2425.0,12157.0,SF,1.0,0.0,0.0,ShADadFf,18.0,3369.0,18.0,13101.0,0.0,01f47195707eefc4,06474bd2706a7ac3969d849ce7ddfd13f2
1723224985.12914,CxfCf73ARV63x88aFb,192.168.1.4,59002.0,23.212.249.91,443.0,tcp,125.241286039352,57654.0,22816.0,SF,1.0,0.0,0.0,ShADadFf,56.0,60574.0,65.0,26204.0,0.0,b8c05adb0fa6de55,f8c05adb0fa6de55
1723221700.305453,CJT3tf2xtPUMEA99L,192.168.1.6,52948.0,192.168.1.4,22.0,SSH,18.0870840549469,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0,,
1723215516.542626,CGVyg93HQdi1HspVHf,192.168.1.6,57856.0,192.168.1.4,22.0,SSH,18.090065956115723,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0,,
1723221506.827375,CtXUPh4cyKXjkGhoOd,192.168.1.6,43716.0,192.168.1.4,22.0,SSH,18.09208607673645,1647.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2539.0,22.0,3238.0,1.0,,
1723224303.469,CjCUHiOVu4jSL47W8,192.168.1.4,54279.0,192.168.1.1,53.0,udp,0.001183986663818,49.0,113.0,SF,1.0,1.0,0.0,Dd,1.0,77.0,1.0,141.0,0.0,c5ce4f201f769549,e5ce4f201f769549
1723221589.405247,C44GiuXjZxJUxAfHh,192.168.1.6,53242.0,192.168.1.4,22.0,SSH,18.09876203536988,1639.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2531.0,22.0,3238.0,1.0,,
1723223480.31165,CbHVFB1klskL5oj1W5,192.168.1.4,35976.0,13.224.214.65,443.0,tcp,240.132983922958,2513.0,47972.0,SF,1.0,0.0,0.0,ShADadfF,35.0,4341.0,43.0,50216.0,0.0,07e0c5bcf15dab0b,e7e0c5bcf15dab0b
1723220000.995986,CzS8pf3boZEIQZdrBg,192.168.1.6,43688.0,192.168.1.4,22.0,SSH,18.087788105010983,1631.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2523.0,22.0,3238.0,1.0,,
1723217011.47828,CfsIU13Onm1EdNqt7a,192.168.1.6,59280.0,192.168.1.4,22.0,SSH,18.087843894958496,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0,,
1723216698.260676,CW8qUT48X0JTHrbl3,192.168.1.6,37592.0,192.168.1.4,22.0,SSH,0.001001834869384,23.0,22.0,RSTR,1.0,1.0,0.0,ShADadr,4.0,239.0,5.0,278.0,1.0,,
1723223416.35781,C7K89l4gOcFMUpnnMj,192.168.1.4,38651.0,192.168.1.1,53.0,udp,0.002357006072998,41.0,223.0,SF,1.0,1.0,0.0,Dd,1.0,69.0,1.0,251.0,0.0,7e2b34b0eb63abf6,fe2b34b0eb63abf6
1723213045.369876,ClkzcJ1APeLIlbVJxl,192.168.1.6,44462.0,192.168.1.4,22.0,SSH,18.088832139968872,1607.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2499.0,22.0,3238.0,1.0,,
